支持编号,支持日期,支持者,档位名称,数量,单价,金额,支付状态,发货状态
MD-2025070034,2025-07-18,苏*航,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070035,2025-08-06,卢*雅,单盒（常规）,1,95,95,已支付,已发货
MD-2025070036,2025-08-07,蒋*洋,明盒（常规）,1,100,100,已支付,已发货
MD-2025070037,2025-07-15,蔡*颖,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070038,2025-08-01,贾*翔,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070039,2025-08-08,丁*琪,端盒（6只）,1,546,546,已支付,已发货
MD-2025070040,2025-08-02,魏*凯,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070041,2025-07-16,薛*萌,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070042,2025-07-17,叶*飞,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070043,2025-08-08,阎*琳,单盒（常规）,1,95,95,已支付,已发货
MD-2025070044,2025-08-07,余*泽,明盒（常规）,1,100,100,已支付,已发货
MD-2025070045,2025-08-08,潘*瑶,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070046,2025-08-01,杜*昊,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070047,2025-08-12,戴*婷,端盒（6只）,1,546,546,已支付,已发货
MD-2025070048,2025-07-30,夏*晨,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070049,2025-07-20,钟*宇,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070050,2025-08-12,姚*萌,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070051,2025-07-28,汪*瑾,单盒（常规）,1,95,95,已支付,已发货
MD-2025070052,2025-08-09,田*峰,明盒（常规）,1,100,100,已支付,已发货
MD-2025070053,2025-07-20,任*滢,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070054,2025-07-19,姜*祥,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070055,2025-07-19,范*萱,端盒（6只）,1,546,546,已支付,已发货
MD-2025070056,2025-08-04,方*博,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070057,2025-07-23,石*淇,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070058,2025-07-17,廖*然,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070059,2025-08-09,邹*远,单盒（常规）,1,95,95,已支付,已发货
MD-2025070060,2025-07-20,熊*慧,明盒（常规）,1,100,100,已支付,已发货
MD-2025070061,2025-07-29,金*铭,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070062,2025-07-24,陆*豪,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070063,2025-07-17,郝*妍,端盒（6只）,1,546,546,已支付,已发货
MD-2025070064,2025-08-06,孔*阳,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070065,2025-07-16,白*萌,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070066,2025-07-20,崔*杰,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070067,2025-08-02,康*悦,单盒（常规）,1,95,95,已支付,已发货
MD-2025070068,2025-08-06,毛*浩,明盒（常规）,1,100,100,已支付,已发货
MD-2025070069,2025-07-17,邱*琳,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070070,2025-07-21,秦*朗,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070071,2025-07-31,江*洁,端盒（6只）,1,546,546,已支付,已发货
MD-2025070072,2025-07-25,史*辰,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070073,2025-08-11,顾*怡,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070074,2025-08-05,侯*峰,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070075,2025-07-16,龙*涵,单盒（常规）,1,95,95,已支付,已发货
MD-2025070076,2025-08-06,万*涛,明盒（常规）,1,100,100,已支付,已发货
MD-2025070077,2025-07-26,段*蕾,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070078,2025-08-09,雷*博,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070079,2025-07-22,严*曦,端盒（6只）,1,546,546,已支付,已发货
MD-2025070080,2025-08-08,覃*宇,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070081,2025-07-25,武*萌,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070082,2025-08-12,乔*凯,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070083,2025-07-22,汤*瑶,单盒（常规）,1,95,95,已支付,已发货
MD-2025070084,2025-07-24,尹*飞,明盒（常规）,1,100,100,已支付,已发货
MD-2025070085,2025-07-21,易*萱,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070086,2025-08-13,常*鸣,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070087,2025-08-03,贺*桐,端盒（6只）,1,546,546,已支付,已发货
MD-2025070088,2025-07-31,赖*廷,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070089,2025-07-17,龚*拓,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070090,2025-07-18,文*丽,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070091,2025-07-20,庞*锐,单盒（常规）,1,95,95,已支付,已发货
MD-2025070092,2025-07-28,蓝*昕,明盒（常规）,1,100,100,已支付,已发货
MD-2025070093,2025-08-12,代*妮,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070094,2025-08-06,蒙*衍,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070095,2025-08-13,岑*锋,端盒（6只）,1,546,546,已支付,已发货
MD-2025070096,2025-07-16,毕*媛,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070097,2025-07-26,阮*濛,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070098,2025-07-23,关*铮,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070099,2025-07-24,覃*朗,单盒（常规）,1,95,95,已支付,已发货
MD-2025070100,2025-07-17,兰*熹,明盒（常规）,1,100,100,已支付,已发货
MD-2025070101,2025-07-27,乌*庭,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070102,2025-07-23,焦*荟,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070103,2025-08-08,池*韬,端盒（6只）,1,546,546,已支付,已发货
MD-2025070104,2025-07-24,谷*宓,ALL-IN套装,1,680,680,已支付,已发货
MD-2025070105,2025-08-10,宁*旋,随机单盒（早鸟）,1,89,89,已支付,已发货
MD-2025070106,2025-08-14,尚*航,限量明盒（早鸟）,1,94,94,已支付,已发货
MD-2025070107,2025-08-04,符*融,单盒（常规）,1,95,95,已支付,已发货
MD-2025070108,2025-07-27,嵇*萌,明盒（常规）,1,100,100,已支付,已发货
MD-2025070109,2025-08-04,缪*清,CP对盒（早鸟）,1,176,176,已支付,已发货
MD-2025070110,2025-08-01,娄*菲,CP对盒（常规）,1,184,184,已支付,已发货
MD-2025070111,2025-07-31,裘*策,端盒（6只）,1,546,546,已支付,已发货
MD-2025070112,2025-08-14,莘*凝,ALL-IN套装,1,680,680,已支付,已发货
